,site,name,lat,lng,solar_exposure
0,23090,ADELAIDE (KENT TOWN),-34.9211,138.6216,15.2
1,23037,ADELAIDE (PARAFIELD PLANT INTRODUCTION C,-34.7833,138.6242,15.7
2,23031,ADELAIDE (WAITE INSTITUTE),-34.9697,138.6331,14.9
3,23000,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),-34.9257,138.5832,15.0
4,23034,ADELAIDE AIRPORT,-34.9524,138.5196,15.9
5,9999,ALBANY AIRPORT,-34.9411,117.8158,14.9
6,9741,ALBANY AIRPORT COMPARISON,-34.9414,117.8022,14.9
7,15590,ALICE SPRINGS AIRPORT,-23.7951,133.889,20.3
8,58131,ALSTONVILLE TROPICAL FRUIT RESEARCH STAT,-28.8521,153.4556,16.1
9,86147,ASPENDALE CSIRO,-38.0333,145.1,14.1
10,15527,AYERS ROCK,-25.34,131.0583,20.3
11,33002,AYR DPI RESEARCH STN,-19.6169,147.3758,18.6
12,67068,BADGERYS CREEK MCMASTERS F.STN,-33.8683,150.7278,14.4
13,10244,BAKERS HILL,-31.7469,116.4561,17.9
14,92003,BICHENO (COUNCIL DEPOT),-41.8739,148.3036,13.0
15,39006,BILOELA DPI,-24.3789,150.5164,17.4
16,32061,BOTTOM OF PIN GIN HILL,-17.5333,145.9667,17.1
17,40428,BRIAN PASTURES,-25.655,151.745,17.0
18,35149,BRIGALOW RESEARCH STN,-24.8353,149.8003,17.5
19,40223,BRISBANE AERO,-27.4178,153.1142,16.7
20,40842,BRISBANE AERO,-27.3917,153.1292,16.9
21,40214,BRISBANE REGIONAL OFFICE,-27.466,153.02700000000004,16.3
22,3003,BROOME AIRPORT,-17.9475,122.2352,21.2
23,14629,BULMAN,-13.6667,134.3333,20.7
24,86351,BUNDOORA (LATROBE UNIVERSITY),-37.7163,145.0453,13.8
25,95003,BUSHY PARK (BUSHY PARK ESTATES),-42.7097,146.8983,13.1
26,71030,CABRAMURRA SMHEA,-35.9333,148.3833,14.7
27,72091,CABRAMURRA SMHEA,-35.9383,148.3842,14.7
28,31011,CAIRNS AERO,-16.8736,145.7458,18.0
29,3040,CAMBALLIN,-17.9903,124.1922,21.8
30,37010,CAMOOWEAL TOWNSHIP,-19.9225,138.1214,20.9
31,93036,CAMPBELL TOWN,-41.9333,147.4833,13.9
32,70351,CANBERRA AIRPORT,-35.3088,149.2004,15.9
33,70014,CANBERRA AIRPORT COMPARISON,-35.3049,149.2014,15.9
34,70282,CANBERRA CITY,-35.2667,149.1167,16.1
35,70015,CANBERRA FORESTRY,-35.3,149.1,16.1
38,18012,CEDUNA AMO,-32.1297,133.6976,17.7
39,14703,CENTRE ISLAND,-15.7426,136.8192,20.7
40,29009,CLONCURRY AERO,-20.6717,140.5083,20.8
41,48027,COBAR MO,-31.484,145.8294,18.2
42,59040,COFFS HARBOUR MO,-30.3107,153.1187,16.1
43,50102,CONDOBOLIN SOIL CONSERVATION,-33.0833,147.15,17.8
44,32135,COWLEY JTTRE,-17.6833,146.1167,17.7
45,63023,COWRA RESEARCH CENTRE (EVANS ST),-33.8087,148.7071,16.9
46,86375,CRANBOURNE BOTANIC GARDENS,-38.1348,145.2637,14.0
47,91022,CRESSY RESEARCH STATION (MAIN OFFICE),-41.7217,147.0806,14.3
48,98001,CURRIE POST OFFICE,-39.9322,143.8486,14.0
49,14618,DALY WATERS,-16.2529,133.37,21.1
50,14626,DALY WATERS AIRSTRIP,-16.2637,133.3782,21.1
51,5061,DAMPIER SALT,-20.7278,116.7483,21.3
52,82076,DARTMOUTH RESERVOIR,-36.5353,147.4984,15.1
53,14015,DARWIN AIRPORT,-12.4239,130.8925,20.1
54,14161,DARWIN REGIONAL OFFICE,-12.4667,130.8333,20.2
56,74128,DENILIQUIN (VISITOR INFORMATION CENTRE),-35.5283,144.9651,17.0
57,74039,DENILIQUIN FALKINER MEMORIAL,-35.3667,145.05,17.0
58,9637,DENMARK RES.STN.,-34.9511,117.37,14.9
59,81013,DOOKIE AGRICULTURAL COLLEGE,-36.3717,145.7048,16.2
60,14901,DOUGLAS RIVER RESEARCH FARM,-13.8345,131.1872,20.6
61,9538,DWELLINGUP,-32.7103,116.0594,17.3
62,85072,EAST SALE,-38.1156,147.1322,14.6
63,91030,ELLIOTT RESEARCH STATION,-41.0828,145.7725,13.6
64,99005,FLINDERS ISLAND AIRPORT,-40.0911,148.0024,13.8
65,91186,FORTHSIDE RESEARCH STATION,-41.2039,146.265,14.0
66,13017,GILES METEOROLOGICAL OFFICE,-25.0341,128.30100000000002,20.3
67,56013,GLEN INNES AG RESEARCH STN,-29.6952,151.6935,16.8
68,10554,GLEN LOSSIE,-33.8167,117.1667,16.7
69,40454,GLENLOGAN FIELD STATION,-27.8333,153.0,16.3
70,14508,GOVE AIRPORT,-12.2741,136.8201,19.2
71,75028,GRIFFITH CSIRO,-34.3183,146.0667,17.4
73,94220,GROVE (RESEARCH STATION),-42.9858,147.0742,12.5
74,55024,GUNNEDAH RESOURCE CENTRE,-31.0261,150.2687,17.6
75,91240,GUNNS PLAINS,-41.3,145.9833,13.2
77,90103,HAMILTON RESEARCH STATION,-37.825,142.0644,14.4
79,41044,HERMITAGE,-28.2061,152.1003,16.8
81,94029,HOBART (ELLERSLIE ROAD),-42.8897,147.3278,12.5
82,94008,HOBART AIRPORT,-42.8339,147.5033,13.1
83,41341,INGLEWOOD TOBACCO RES,-28.5,150.9333,17.5
